title,authors,date,first_p
Professor Koonin’s climate talk was misleading nonsense — here’s why,Rowan Gray and Gabriel Konar-Steenberg,2023-03-03T05:45:00Z,"when theoretical physicist steven koonin spoke at cmc last week, rowan gray cm ‘26 and gabriel konar-steenberg po ‘23 weren’t impressed — they were appalled. "
"Housing & Res. Life, clean up after yourself",Linda Phan,2023-02-24T08:09:00Z,"after winter break, linda phan po ’24 returned to her room to find it trashed. housing and res. life told her to clean it herself."
The unintended consequences of Meatless Mondays,Madison Lewis,2023-02-24T07:36:00Z,"frary’s meatless mondays have environmental benefits, but pose a danger by encouraging restrictive eating, argues madison lewis po ‘24."
Pomona’s quarantine policies leave room for error,Maggie McBride,2023-02-24T06:02:00Z,"maggie mcbride po ‘23 argues that pomona’s isolation policies are contradictory, inconsistent, and put students’ health at risk. "
Pitzer’s treatment of workers shows its true core values,CSWA Political Education Committee,2023-02-17T08:15:00Z,"following pitzer’s illegal firing of workers for expressing union support, the claremont student worker alliance’s political education committee has created a zine correcting pitzer’s mission statement to match their lived experiences."
The fight against misinformation is the path of least resistance,Luke Williams,2023-02-17T07:34:00Z,"when it comes to the battle against misinformation, you have more power than you think, argues guest writer luke williams po ‘23. "
Stop homogenizing the Asian American experience,Zeean Firmeza,2023-02-17T06:28:00Z,"hollywood is witnessing a rise in asian-american representation — but, according to guest writer zeean firmeza po ’26, there’s still a ways to go. "
The 5Cs need to teach emotional intelligence,Rowan Gray,2023-02-17T05:02:00Z,"“the 5cs bill themselves as places where leaders come to learn foundational tools …  it’s time we actually teach them,” argues rowan gray cm ‘26."
Participation grades should extend beyond speaking in class,Tess McHugh,2023-02-10T09:18:00Z,"the participation grade is an arbitrary grading component designed exclusively for extroverts, argues tess mchugh po ‘25. "
"When comedian Mo Amer took the stage, he left me sick to my stomach",Jada Shavers,2023-02-10T08:43:00Z,"“comedians are known for pushing societal boundaries through their comedy — but some lines should never be crossed,” argues guest writer jada shavers sc ‘26. "
Stop beating around the bush,Averi Sullivan,2023-02-10T08:37:00Z,"claremont men, guest writer averi sullivan po ‘23 has a special valentine’s day message for you: eat some kitty."
"CMC, it’s time to renounce the Claremont Institute",Rowan Gray,2023-02-10T05:46:00Z,what is the claremont institute? and what do they have to do with you? rowan gray cm ‘26 has the answers. 
The beauty of cyclical small talk,Emilio Esquivel Marquez,2023-02-10T05:29:00Z,"the claremont community runs on seasonal cycles of small talk, writes emilio esquivel marquez po ‘25 – and it’s a wonder to behold. "
CMC students can change party culture,Josh Nagra,2023-02-03T09:11:00Z,the social culture at cmc is a product of student actions. cmc student body president josh nagra cm ‘23 addresses his peers on the need to respect the college’s operations in order to maintain a positive cultural landscape. 
The limits of college activism,Marcello Ursic,2023-02-03T09:01:00Z,do college students have political leverage? guest writer marcello ursic po ‘24 on why disrupting an institution’s cash flow is the most effective form of political action. 
TSL won’t let me use the Oxford comma — and that’s a problem,Rowan Gray,2023-02-03T08:02:00Z,nearly all american newspapers – from the new york times to our very own the student life – prohibit the use of the oxford comma. rowan gray cm ‘26 is lobbying to change that. 
"It’s not just you, syllabus week sucks",Maggie McBride,2023-02-03T07:54:00Z,"the first couple weeks of school are popularly assumed to be the easiest of the semester. that assumption, argues maggie mcbride po ‘23, is entirely wrong. "
Scripps’ winter housing plan shows lack of support for student-athletes,Annika Johnson,2023-01-07T22:13:00Z,"scripps is the only cms school making their student-athletes stay off-campus during winter break, annika johnson sc ’23 writes."
DIVERSITY & INCLUSION EDITORS: A semester in review,Anuradha Krishnan and Manan Mendiratta,2022-12-12T04:32:00Z,"as the 7cs’ paper of record, we aim to serve our community by telling the stories that matters to the 5cs.  but, to do so, we have to keep our diversity, equity and inclusion initiatives at the forefront of every story we tell, each photo we shoot and in general, the internal dynamic within our own newsroom. here’s what we’ve been up to this fall."
"EDITORIAL BOARD: The essay is not the punishment, Pomona",Editorial Board,2022-12-05T08:06:00Z,editorial board: pomona college must reconcile relations with the essay and not make a punishment out of it for missed covid-19 testing requirements. 
Pitzer should revoke Kevin de León’s degree — or at least say something,Aaron Matsuoka,2022-12-02T07:07:00Z,"la city council member kevin de león pz ’03 should be held accountable for his actions, argues aaron matsuoka pz ’26. "
The case for journaling,Vivian Wang,2022-12-02T06:56:00Z,"not a fan of journaling? don’t knock it until you try it, argues vivian wang cm ’26. "
The ‘Claremont Cold’ calls for new sanitary habits,Carter Soe,2022-12-02T06:49:00Z,"the “claremont cold” is making its rounds — but we can defeat it by re-instituting our pandemic-era sanitary habits, argues carter soe pz ’26."
Gangsta rap is not the problem,David De Souza,2022-11-18T06:44:00Z,"the recent murders of rap artists are connected via structural violence, gun laws, over-policing and systemic poverty — not via the contents of their music, argues david de souza po ’24."
Don’t call me African American,Annika White,2022-11-18T06:40:00Z,"‘black’ and ‘african american’ are not interchangeable, writes annika white pz ’25. do better. "
The holidays shouldn’t have to give you eco-anxiety,Kana Jackson,2022-11-18T06:38:00Z,"feeling eco-anxiety about overconsumption during the holidays is normal, argues guest writer kana jackson pz ’25. here are some steps to ease this worry. "
Have empathy for students who are transported,Anna Tolkien,2022-11-18T06:07:00Z,"being upset about a party being shut down is understandable, but blaming those who were transported is inconsiderate, argues anna tolkien cm ’24. "
President Chodosh’s first NCAA meeting agenda,Jasper Davidoff,2022-11-11T10:45:00Z,"with future ncaa presidents council meetings to attend, cmc president hiram chodosh could use some counseling on what to say, writes jasper davidoff po ’23. so, he took it upon himself to draft an agenda."
The left must let go of ideological purity,Margot Rosenblatt,2022-11-11T06:39:00Z,"if the left wants to affect lasting change, they need to shift away from lofty goals and tackle the system from within, argues margot rosenblatt sc ‘24. "
Your childhood isn’t over at 20,Shay Suresh,2022-11-11T06:34:00Z,"dear 20-year-olds: your younger self is not as far away as you think they are, writes shay suresh cm ’24. "
5C parties need to be safer,Zeean Firmeza,2022-11-11T06:08:00Z,"claremont after dark wasn’t just annoying and alarming, argues zeean firmeza po ’26. it was a wake-up call for administration and students to prioritize safety. "
Give humanities and social sciences a chance,Zeean Firmeza,2022-11-04T08:01:00Z,"while stem subjects are great, the humanities and social sciences deserve to be recognized too, writes zeean firmeza po ’26. "
Religious minorities at the 5Cs deserve space to observe holidays,Ella Lehavi,2022-11-04T06:18:00Z,"students of all religions should be able to celebrate their holidays without worry, argues guest writer ella lehavi ’24. "
Pitzer College builds a community only for those who can afford it,Daniel Bonilla,2022-11-04T05:08:00Z,"many bipoc and first-generation students lack the proper resources to acclimate to college culture — and pitzer is no help, writes daniel bonilla pz ‘25. "
"For students with dietary restrictions, Pomona’s ultimate meal plan is ableist",Seohyeon Lee,2022-11-04T05:05:00Z,"pomona’s ultimate meal plan doesn’t treat students with dietary restrictions with respect, argues guest writer seohyeon lee po ’25. to remedy this, dining halls need to up their accessibility game, and medical exemptions must become available."
CMS Men’s Soccer hazing: Where do we go from here?,Tess McHugh,2022-11-04T04:57:00Z," cmc has shown little commitment to eradicate hazing thus far, argues tess mchugh po ‘25. the hazing prevention consortium (hpc) is the only path forward. "
"EDITORIAL BOARD: Pomona, it’s time to set a new precedent — put workers first",Editorial Board,2022-10-28T20:00:00Z,"as pomona dining hall workers strike this weekend, the editorial board calls upon pomona administration to treat workers with respect and to not repeat previous mistakes."
The importance of socializing meaningfully,Anna Tolkien,2022-10-28T05:14:00Z,"college is great time for making friends, but figuring out friendship styles can be complicated, writes anna tolkien cm ’24."
CMC is failing its queer students,Ashley Park,2022-10-28T05:07:00Z,"a few weeks ago, cmc threw a ‘pride party.’ what cmc didn’t do, argues ashley park cm ‘25, is provide actual institutional and emotional support for queer students. "
Avoiding appropriation during the spooky season,Jada Shavers,2022-10-28T05:06:00Z,"people need to be more aware of the impact of their halloween costume choice, argues guest writer jada shavers sc ’26.  "
Pomona’s expectations for first-year presidents are way too high,Paul Yan,2022-10-28T05:00:00Z,"pomona first-years voted in their first aspc election before having survived even their first month of college. as a result, candidates were making false promises and unknowingly spreading misinformation about student government, argues paul yan ‘26. "
Mentor sessions are worth another look,Henry Peterson,2022-10-28T04:58:00Z,"mentor sessions are a great resource for students, argues guest writer henry peterson po ’22. but they are undervalued. "
Let’s normalize eating alone in the dining halls,Annika White,2022-10-28T04:57:00Z,"between classes, extracurriculars and study sessions, meals are often the only true breaks in our day, writes annika white pz ’25. so why are we so afraid of spending them alone? "
CMS athletics functions like Greek life — and that culture needs to go,Camille Forte,2022-10-14T09:50:00Z,"cms needs to acknowledge its problematic hazing and peer pressure culture, argues former athlete camille forte cm ’23. "
"CMC, don’t let donors dictate curriculum",Laleh Ahmad,2022-10-14T09:45:00Z,"the trajectory of cmc’s racial-ethnic ge proposal underscores the board of trustees’ gross outsized influence on curriculum, argues laleh ahmad cm ’20."
Just call it the CRAW,Jasper Davidoff,2022-10-14T06:12:00Z,"‘craw’ is the most appropriate acronym for pomona’s new athletic center, writes jasper davidoff po ’23. as an aviation association, it should take flight. "
It’s time to (actually) BeReal,Aaron Matsuoka,2022-10-14T05:30:00Z,"bereal and “casual” instagram are meant to make social media more authentic — but they’re actually making it more toxic, argues aaron matsuoka pz ’26."
"Pomona, stop releasing poisons into Claremont’s ecosystem",Jacob Ligorria,2022-10-07T05:50:00Z,"pomona college is poisoning our environment with toxic rodent control methods, writes jacob ligorria po ’23. they need to find eco-friendly alternatives. "
Why you shouldn’t succumb to pre-professional pressure,Vivian Wang,2022-10-07T05:23:00Z,"as a student, it’s easy to feel obligated to throw your hat in the ring, writes vivian wang cm ‘26. don’t succumb to the pressure. "
The (not so) fine line between curiosity and microaggression,Shay Suresh,2022-10-07T05:23:00Z,"“where are you really from?” even self-described ‘progressive campuses’ like the 5cs aren’t exempt from microaggressions, writes shay suresh cm ‘24."
Don’t sell yourself short: Apply to study abroad,Anna Tolkien,2022-10-07T05:12:00Z,"studying abroad is a once-in-a-lifetime-opportunity, writes anna tolkien cm ’24. students should not let anything deter them from applying to it."
The Student Disability Resource Center is failing us,Annika White,2022-09-30T05:56:00Z,"are the claremont colleges educationally equitable? not until the student disability resource center is better funded, writes annika white pz ‘25. "
Education shouldn’t be hindered by menstruation,Zeean Firmeza,2022-09-30T05:11:00Z,"college students have lots to worry about, but finding period products shouldn’t be the cause of their panic, argues zeean firmeza po ’26. "
Stop the ‘diversity paparazzi’ in college recruitment,Ashley Park,2022-09-30T04:47:00Z,"admissions brochures are full of “diversity” photos. but until colleges can promise on-campus inclusivity, such representation is unethical, argues ashley park cm ‘25. "
"Humanize, don’t idolize celebrities",Shay Suresh,2022-09-23T04:17:00Z,"there’s nothing wrong with being a fan. but, when adoration turns into idolization, conception of celebrities becomes unhealthy, writes shay suresh cmc ’24."
"No, Scripps classes aren’t easier",Eliza Powers,2022-09-23T04:17:00Z,"the trope that scripps classes are easy isn’t a “fun stereotype,” writes eliza powers po ‘25 – it’s highly sophisticated coded misogyny."
Orientation planning needs to be adjusted for international students,Vivian Wang,2022-09-23T04:13:00Z,"for international students, first-year orientation is intensely overwhelming – but it doesn’t have to be that way, writes vivian wang cm ‘26."
"Professors, please reconsider your sick policies",Anna Tolkien,2022-09-23T04:13:00Z,"students with sicknesses other than covid are often overlooked. professors should revisit their sick policies if they truly care, argues anna tolkien cmc ’24."
The 5Cs need to be more shady,Aaron Matsuoka,2022-09-16T08:29:00Z,"the lack of trees at the claremont colleges exacerbates heat and hinders community  — so let’s plant more, writes aaron matsuoka pz ’26."
Why the 5Cs need Plan B,Ashley Park,2022-09-16T06:45:00Z,"amidst a nationwide attack on reproductive rights, it’s time for the 5cs to step up and equip students with free reproductive health care, writes ashley park cm ’25.  "
Wheelchair users must be better represented at the 5Cs,Max Zonana,2022-09-16T06:41:00Z,"in order to be a more inclusive environment, the 5cs must recognize diversity of ability and provide better accessibility, writes max zonana po ’26."
"It’s getting (way too) hot in here, Pomona",Zeean Firmeza,2022-09-16T06:14:00Z,"when a heatwave swept across southern california at the start of this school year, pomona’s plan didn’t prioritize students, argues zeean firmeza po ’26."
EDITORIAL BOARD: The 5Cs need to find a COVID policy that is here for all of us,Editorial Board,2022-09-03T01:17:00Z,"the significant reduction of the 5cs’ covid-19 dashboards is an unnecessary cut to make, writes the editorial board, and denies community members vital information."
"Pomona, don’t downsize Orientation Adventure",Samuel Breslow,2022-08-23T17:35:00Z,"pomona’s oa trips are an integral part of orientation, but the changes made to them in the past few years limit their full potential, argues guest columnist samuel breslow po ’18."
The 5Cs must take a proactive approach to monkeypox — and we’re already behind,Niva Laurent,2022-08-08T18:42:00Z,"the u.s. currently accounts for 25 percent of the world’s monkeypox cases, and last week, the biden administration finally declared another public health emergency surrounding the outbreak — nearly three months after the country’s first reported case. despite these developments, none of the 5cs have announced precautionary measures or made any acknowledgement that monkeypox poses a threat to life on campus."
EDITORIAL BOARD: Does the Roberts Campus really exemplify ‘responsible leadership’?,Editorial Board,2022-04-29T07:50:00Z,"cmc must acknowledge that alum and major donor george roberts, co-founder of private equity firm kkr, is far from the example of “responsible leadership” that the college claims to promote."
Georg Kolbe’s ‘Young Woman’ has revolutionary potential apart from its problematic past,Arianne Ohara,2022-04-29T07:18:00Z,"the scripps community should find a way to reimagine georg kolbe’s statue “young woman” in a way that disarms the dangerous aryan supremacist ideology it represents and truly empowers all women, writes guest columnist arianne ohara pz ’25."
Walker Wall is right. Pomona protects assaulters,Nanea Haynes,2022-04-29T06:56:00Z,"pomona college continues to fail survivors of sexual assault by upholding the outdated belief that perpetrators’ punishment should be proportional to victims’ visible suffering, argues guest columnist nanea haynes po ‘22. "
Why we need to repair the 5C whisper network,Cassidy Bensko,2022-04-29T06:56:00Z,"the pandemic has damaged the ‘whisper network’ across classes that warns incoming underclassmen about potential assaulters on campus, and it’s up to upperclassmen to repair it, writes guest columnist cassidy bensko sc ’25."
"After Ukraine, is Taiwan really next?",Claire Tiunn,2022-04-29T06:48:00Z,"discourse comparing russia’s invasion of ukraine to the situation between taiwan and china are too simplistic, but they do challenge us to acknowledge the threats facing the entire free world, argues guest columnist claire tiunn po ‘24."
Academia needs to better accommodate writer’s block,Yifei Cheng,2022-04-29T06:40:00Z,"we need to rethink writer’s block, and acknowledge that it’s not inherently a bad thing, writes yifei cheng po ’24."
"Women of color deserve their literary tragedies, too",Shay Suresh,2022-04-29T06:33:00Z,"the genre of stories about women facing personal tragedies needs to be inclusive of the experiences of women of color, writes shay suresh cm ’24."
"Two years later, Pomona is still living in 2020",Frances Sutton,2022-04-29T06:08:00Z,"pomona must acknowledge its hypocrisy in implementing contradictory and excessive covid-19 policies while claiming to have students’ best interests in mind, argues guest columnist frances sutton po ‘22."
An internship isn’t the only way to learn real life lessons,Eliza Powers,2022-04-29T06:03:00Z,"domestic labor, despite being institutionally categorized as innately enjoyable work, is ultimately the most “serious” form of work imaginable and should not be overlooked, argues eliza powers po ‘25. "
Not speaking your parents’ native language doesn’t make you a bad Asian American,Alexander Chao,2022-04-29T05:58:00Z,"not speaking our parents’ native language fluently is not a result of our personal failures but rather the result of our circumstances and upbringing, argues alexander chao po ‘25."
We are not all going to the moon,Caelan Reeves,2022-04-22T07:52:00Z,"cryptocurrency is not the universally accessible wealth generator that the hype would have you believe, and should especially never be allowed to take over government functions, writes guest columnist caelan reeves cm ’24."
Parody conspiracies might be the absurdist outlet you need,Annika Reff,2022-04-22T07:19:00Z,"don’t underestimate the power of a parody like birds aren’t real to help you make sense of a society overflowing with real and dangerous conspiracy theories, writes annika reff po ’25."
"On mental health issues, a joke isn’t just a joke",Anna Tolkien,2022-04-22T07:15:00Z,"casually using mental health terms as a joke risks isolating and stigmatizing your peers who may be struggling with mental health issues, writes anna tolkien cm ’24."
‘Dark academia’ — an alternative take on education and privilege,Yifei Cheng,2022-04-22T07:11:00Z,"dark academia, despite some criticisms toward its superficial aspect, can dismantle the elitist narratives of classics and humanities as practitioners incorporate it into their mundane lives, argues yifei cheng po ‘24."
"On chest binding, Pitzer needs to put the privacy of queer students first",Lila Feldmann,2022-04-15T06:16:00Z,"don’t make assumptions about your classmates’ sexual or gender identity just because they bind their chests, writes guest columnist lila feldmann pz ’24."
Staying positive when you’re positive,Vidusshi Hingad,2022-04-15T05:50:00Z,"you can always find ways to remain positive about and adapt to your situation, even in covid isolation, writes guest columnist vidusshi hingad po ’25."
"For Black women, the slap heard around the world wasn’t senseless",Annika White,2022-04-15T03:36:00Z,"the will smith/chris rock debate is overlooking the violence and harmful prejudices embodied in rock’s joke about jada smith, writes annika white pz ’25."
"The sisterhood of bickering, or why you should fight with your best friend",Eliza Powers,2022-04-15T03:32:00Z,"even the most heated arguments can actually be an indicator of a truly strong and lasting friendship, writes eliza powers po ’25."
We need to let go of our idea of ‘genius’,Alexander Chao,2022-04-15T03:21:00Z,"we must acknowledge the gender bias that the word “genius” carries and the unintended effect it creates in propagating negative stereotypes against women, writes alexander chao po ‘25. "
Letter to the editor: Trustees’ obligations on investment,Letter to the Editor,2022-04-09T20:10:00Z,"lew phelps po ’65, former editor in chief of tsl, echoes the call for pomona college to divest from fossil fuels and suggests a further way the college can ensure that its investments are responsible for the climate."
Survivors deserve a place at the Athenaeum,The Student Life,2022-04-08T07:45:00Z,a cmc student writes of how they are still unable to enter the athenaeum due to the triggering effect that laura kipnis’ event last october had on them as a survivor of sexual assault.
Pomona endowment disclosure must include divestment from Israeli occupation,Sarah Burch,2022-04-08T07:33:00Z,"pomona college’s endowment disclosure must include divestment from companies complicit in the israeli occupation of palestine, writes guest columnist sarah burch po ’22."
Gaming doesn’t have to be gatekept,Anna Tolkien,2022-04-08T06:26:00Z,"the gaming community should be more open and inclusive to newcomers, especially to female gamers, who often face gatekeeping when they first enter it, writes anna tolkien cm ‘24."
Trans women belong in college sports,Gwen Tucker,2022-04-08T06:18:00Z,"trans women must be allowed to play on the team that matches their gender identity, regardless of false right-wing talking points, writes gwen tucker sc ‘ 25."
Reaction to war in Ukraine shows the fine line between action and awareness,Annika Reff,2022-04-08T06:13:00Z,"the war in ukraine demands that we think critically about our activism and ensure we are actually making a difference on the ground, writes annika reff po ’25."
Popular teen shows weren’t made for everyone,Shay Suresh,2022-04-08T04:31:00Z,"we must acknowledge racial and socioeconomic stereotypes perpetuated though predominantly white narratives of popular teen tv shows, writes shay suresh cm ‘24."
California’s student housing crisis requires immediate action,Yifei Cheng,2022-04-01T08:16:00Z,"the lack of affordable housing for college students across california requires immediate action, writes yifei cheng po ‘24."
"EDITORIAL BOARD: On fossil fuel divestment, it’s still 2013",Editorial Board,2022-04-01T07:01:00Z,"following an overwhelming vote by pomona college’s student body in favor of divesting the college’s endowment from fossil fuels, the editorial board calls on pomona’s board of trustees to do the right thing and finally confront the college’s role in the climate crisis."
Isolated students are being shut out of the 5C learning community,Annika White,2022-04-01T06:52:00Z,"pitzer college and the other 5cs must ensure that all quarantined students have a way to access class virtually, instead of leaving it up to individual students and professors to arrange, writes annika white pz ’25."
What national media coverage gets wrong about “cancel culture” on campus,Gwen Tucker,2022-04-01T05:56:00Z,"conservative media critics of “cancel culture” on college campuses don’t understand that the point of a college education is to have one’s beliefs challenged, and in fact can engage in genuine cancelling of opposing opinions themselves, writes gwen tucker sc ’25."
"Nostalgia can be good for you, if done right",Alexander Chao,2022-04-01T05:51:00Z,"don’t be so quick to dismiss your feelings of nostalgia, writes alexander chao po ’25."
Dear 5Cs — please reconsider moshing,Anna Tolkien,2022-04-01T05:44:00Z,"the 5cs must address the various safety concerns posed by mosh pits at parties, writes anna tolkien cm ’24."
‘Basic’ music can be a powerful tool for feminist dissent,Eliza Powers,2022-04-01T05:40:00Z,"music derided as “basic” is often that which celebrates the resilience and power of women while challenging the existing culture intent on devaluing them, writes eliza powers po ‘25."
It’s time for Pomona to disclose where its endowment is invested,Ethan Vitaz,2022-03-25T06:27:00Z,"vote yes in an upcoming student referendum calling on pomona to disclose and divest from its fossil fuel investments, writes guest columnist ethan vitaz pz ’22."
The LGBTQ+ community still needs authentic queer spaces,Nikki Smith,2022-03-25T05:28:00Z,"the growing societal acceptance of lgbtq+ people does not take away the value of authentic, non-corporate spaces created by and for queer people, writes nikki smith sc ’25."
Existential dread is an essential aspect of the liberal arts experience,Yifei Cheng,2022-03-25T05:16:00Z,"embrace existential confusion about your future as part and parcel of the liberal arts college experience, writes yifei cheng po ’24."
Patriarchy doesn’t stop at the dinner table,Shay Suresh,2022-03-25T05:05:00Z,"mothers are often held to a much higher standard of judgment by their children, and you should learn to recognize that dynamic if it manifests in your family, writes shay suresh cm ’24."
Female athletes are more than just a uniform,Annika Reff,2022-03-25T04:26:00Z,"we must put an end to the toxic culture of objectifying and sexualizing female athletes, writes annika reff po ‘25."
"EDITORIAL BOARD: Two years in, what does it mean to come back together?",Editorial Board,2022-03-11T08:00:00Z,"two years after the 5cs sent students home due to the covid-19 pandemic, the editorial board asks what it means to truly come together and build a more resilient community."
We must keep the classics alive,Annika Reff,2022-03-11T07:14:00Z,"even as more students gravitate away from the humanities and toward stem fields, it is essential that liberal arts colleges recognize the continued value of the classics, writes annika reff po ’25."
"Online school can work, if done right",Alexander Chao,2022-03-11T07:08:00Z,"online class,  as a supplement to in-person learning, has more potential to enrich students’ education than we may realize, writes alexander chao po ’25."
"“Sad girl music,” and why fan culture is bad for art",Nikki Smith,2022-03-11T05:58:00Z,"the recent treatment of singer-songwriter mitski by her fans has illuminated how the way we consume art in the digital age could be harmful to both artist and the audience, argues nikki smith sc ‘25. "
Queer representation doesn’t always look the way you expect,Eliza Powers,2022-03-11T05:48:00Z,"it’s time we recognize the potential for queer-coded characters to be meaningful to the queer community while recognizing the harmful motives behind “queerbaiting”, writes eliza powers po ‘25. "
DIVERSITY & INCLUSION: Continuing our efforts to transform TSL’s newsroom,Anuradha Krishnan and Kenny Le,2022-03-04T06:55:00Z,tsl aims to represent a diversity of communities within our staff and our coverage. but doing that effectively begins with an understanding of who’s been comfortable in our newsroom now and in the past — and who hasn’t felt as welcome. our presence in the predominantly white space of the
"I am of Ukrainian heritage, and I’m proud of it",Valerie Braylovskiy,2022-03-04T06:27:00Z,"5c students should understand the history of ukraine and stand in solidarity with the ukrainian people as they resist russian invasion, writes guest columnist valerie braylovskiy po ’25."
Distance doesn’t automatically mean breakup,Anna Tolkien,2022-03-04T06:11:00Z,"a long distance relationship can lead to multiple benefits for a couple, despite the common stereotype that it will most likely result in breakup, writes anna tolkien cm ‘24. "
The Claremont Colleges — and 5C students — must support the fight for affordable housing in Claremont,Gwen Tucker,2022-03-04T05:46:00Z,"the claremont colleges need to own up to their role in perpetuating housing unaffordability in claremont, writes gwen tucker sc ’25."
Talk with the intention to listen,Shay Suresh,2022-03-04T05:40:00Z,"if you want to have meaningful and mutually satisfying conversations with people, start by actively listening to what they are saying, writes shay suresh cm ’24."
5C students should not be subject to regressive ideas of modesty,Eshanya Agrawal,2022-02-25T07:05:00Z,"the censorship of a portrait that the author sent for an instagram takeover for the pomona office of communications shows that even the 5cs are not immune to oppressive policing of female students’ attire, writes guest columnist eshanya agrawal po ’25."
It’s okay to talk about body-focused repetitive behaviors,Maddy McCue,2022-02-25T06:51:00Z,"we should not feel stigma around discussing body-focused repetitive behaviors, writes guest columnist maddy mccue cm ’23."
Forcing unvaccinated students to Oasis endangers public health,Gabe Schuhl,2022-02-25T06:42:00Z,"the pomona college administration is ignoring basic public health guidance by forcing students with medical exemptions to covid-19 vaccination to move to the oasis apartments and bundling them together in shared spaces, writes guest columnist gabe schuhl po ‘25. "
Backlash against ‘race swapping’ in ‘The Rings of Power’ misses the point,Yifei Cheng,2022-02-25T06:34:00Z,"opinion: a backlash against ‘race swapping’ in “the rings of power” reflects a dangerous misinterpretation of tolkien that gatekeeps the fantasy classic within a racialized framework, argues yifei cheng po ‘24. "
Why self-help books can’t compete with interpersonal connections,Alexander Chao,2022-02-25T06:29:00Z,"opinion: self-help books, despite being designed to help people solve their personal problems without relying on others, cannot help as much as they promise, writes alexander chao po ’25. "
Students are going hungry. Mutual aid can help,Sydney Watson and Juliane Hyvert,2022-02-18T06:30:00Z,"pitzer community fridge, a mutual aid initiative aiming to provide free and accessible food, can help address the issue of food insecurity facing 5c students, write guest columnists juliane hyvert sc ’25 and sydney watson sc ‘25. "
We need to dismantle the beauty standard,Anna Tolkien,2022-02-18T06:27:00Z,"comments putting down your friend’s appearance can still be hurtful even if they aren’t very overt, writes anna tolkien cm ’24."
‘The women’s college’ isn’t just for women anymore,Nikki Smith,2022-02-18T06:14:00Z,"scripps must institute a truly coherent and inclusive policy on admission of transgender and non-binary applicants, as part of an ongoing re-evaluation of what it really means to be a “women’s college,” argues nicole smith sc ’25."
Find the Olympics a permanent home,Annika Reff,2022-02-18T06:10:00Z,"the olympics should be moved to a permanent location, to mitigate the concerns about corruption, human rights, and environmental sustainability that have marred the 2022 winter olympics and previous games, argues annika reff po ’25."
Florida’s “Don’t Say Gay” bill represents a national attack on LGBTQIA+ acceptance in schools,Gwen Tucker,2022-02-18T05:42:00Z,"florida’s “don’t say gay” bill follows a dangerous national trend of proposed and implemented legislation attacking the existence of lgbtqia+ students and families, says gwen tucker sc ‘25."
We owe Taylor Swift an apology,Shay Suresh,2022-02-18T05:35:00Z,"the media and public representation of taylor swift reminds us that we must confront our internalized misogyny and be more thoughtful with ourselves and other women, says shay suresh cm ‘24. "
International students need more support as COVID-19 travel restrictions continue,Scarlett Liu,2022-02-11T06:41:00Z,"the 5cs must offer more support to international students facing restrictions on travel to their home countries due to covid-19, with possible actions including recruitment of domestic host families over winter break and increased support with job and internship searches, writes scarlett liu cm ’24."
Nazi associations of Scripps statue call into question college’s commitments to inclusivity,Lily Dunkin,2022-02-11T06:28:00Z,"the nazi ties of georg kolbe, 20th century german sculptor whose statue “young woman” is on display at scripps’ tiernan field house, require the college to re-evaluate the prominent position afforded to the statue in light of its stated commitment to inclusivity and tolerance, argues guest columnist lily dunkin sc ’24."
The 5Cs should make their courses hybrid-flexible this semester,Luciénne Reyes,2022-02-11T06:23:00Z,"the 5cs should offer a hybrid option so that immunocompromised students can choose to continue attending classes online, out of concern for their health amid a pandemic that is still not over, writes guest columnist luciénne reyes pz ’24."
Gamification can be a solution to improved health,Alexander Chao,2022-02-11T06:20:00Z,"gamification can be instrumental in transforming our relationship with health and motivating us to engage in healthy behaviors, writes alexander chao po ‘25.  "
Need-blind admission for international students is a necessity,Yifei Cheng,2022-02-11T06:16:00Z,"pomona must extend its need-blind admissions policy to international students to fulfill its pledged commitment to affordable education, writes yifei cheng po ‘24."
Pomona must clarify its COVID-19 testing policy as students return to in-person learning,Annika Reff,2022-02-04T06:35:00Z,"pomona college and student health services must reassess their covid-19 testing guidelines to accommodate false-positive cases and improve their lines of communication to address discrepancies in instructions given to students, writes annika reff po ’25."
EDITORIAL BOARD: Our staff are our backbone,Editorial Board,2022-02-04T06:24:00Z,"we must not neglect gratitude to the 7c grounds staff and other campus workers who have invested tremendous time and effort into ensuring students’ safe and smooth return to campus during this unprecedented time, writes the tsl editorial board. "
"U.S. Holocaust education needs to be better, and so do 5C students",Gwen Tucker and Nikki Smith,2022-02-04T06:11:00Z,"the recent banning of “maus” by a tennessee county school board is just one example of how education on the holocaust and modern-day anti-semitism is sorely lacking in the us, write nicole smith sc ’25 and gwen tucker sc ’25."
The gym isn’t a place for competition. Don’t make it one,Anna Tolkien,2022-02-04T05:45:00Z,"5c students must be welcoming to people of all fitness levels and maintain a positive dialogue surrounding exercise culture, instead of comparing and shaming others for their workout habits, writes anna tolkien cm ’24."
"When it comes to self-care vs. academics, you can have both",Shay Suresh,2022-02-04T05:30:00Z,"amid a stressful return to campus, students should not feel guilty about making time for themselves and understand that academics and self-care do not need to be in conflict, writes shay suresh cm ’24."
